model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
GGSNN_NoFeatures_e10,0.275,0.5,0.6,0.675,0.73,0.775,0.805,0.835,0.865,0.895,0.925,0.37270436507936516
GGSNN_OPC-200_e10,0.4,0.61,0.695,0.765,0.79,0.82,0.845,0.895,0.915,0.94,0.955,0.49206349206349204
GMN_NoFeatures_e16,0.345,0.585,0.67,0.74,0.77,0.82,0.855,0.885,0.9,0.925,0.93,0.44225198412698424
GMN_OPC-200_e16,0.445,0.6,0.705,0.73,0.735,0.79,0.83,0.84,0.85,0.865,0.885,0.522172619047619
GNN-s2v_ArithMean_e5,0.04,0.23,0.405,0.495,0.56,0.65,0.695,0.755,0.785,0.825,0.855,0.12368253968253962
GNN-s2v_AttentionMean_e5,0.075,0.295,0.405,0.51,0.565,0.635,0.69,0.715,0.765,0.795,0.825,0.16646031746031745
GNN-s2v_GeminiNN_GeminiFeatures_e5,0.26,0.48,0.59,0.645,0.695,0.725,0.77,0.82,0.835,0.855,0.875,0.3591091269841271
GNN-s2v_GeminiNN_NoFeatures_e5,0.04,0.165,0.275,0.345,0.405,0.465,0.555,0.59,0.62,0.665,0.71,0.09711309523809522
GNN-s2v_GeminiNN_OPC-200_e5,0.205,0.4,0.485,0.61,0.67,0.71,0.725,0.755,0.81,0.825,0.88,0.28170238095238115
GNN-s2v_RNN_ASM_e7,0.135,0.375,0.515,0.605,0.655,0.72,0.75,0.79,0.815,0.84,0.86,0.2399543650793652
IMM:0.00_MNEM:0.00_GRAPH:1.00,0.15,0.27,0.38,0.46,0.54,0.585,0.65,0.7,0.73,0.785,0.825,0.20728769841269848
IMM:0.00_MNEM:1.00_GRAPH:1.00,0.03,0.085,0.18,0.235,0.29,0.33,0.42,0.485,0.54,0.595,0.65,0.06226785714285712
IMM:1.00_MNEM:1.00_GRAPH:1.00,0.03,0.075,0.14,0.235,0.3,0.395,0.44,0.5,0.56,0.6,0.675,0.053267857142857145
IMM:4.00_MNEM:0.05_GRAPH:1.00,0.08,0.215,0.28,0.355,0.455,0.55,0.605,0.655,0.69,0.74,0.775,0.13160119047619048
SAFE_ASM-list_250_e5,0.07,0.29,0.5,0.64,0.71,0.75,0.795,0.825,0.85,0.88,0.88,0.17825396825396825
SAFE_ASM-list_Rand_Trainable_e10,0.1,0.36,0.48,0.62,0.67,0.715,0.76,0.775,0.8,0.815,0.835,0.20592658730158728
SAFE_ASM-list_Trainable_e10,0.14,0.38,0.565,0.655,0.685,0.72,0.755,0.76,0.815,0.84,0.86,0.24649007936507958
SAFE_ASM-list_e5,0.1,0.32,0.48,0.605,0.66,0.685,0.745,0.77,0.81,0.85,0.88,0.19239484126984138
Trex,0.115,0.29,0.38,0.445,0.495,0.575,0.61,0.65,0.71,0.75,0.795,0.18542261904761909
Zeek,0.17,0.45,0.6,0.685,0.74,0.805,0.83,0.86,0.88,0.905,0.925,0.2740912698412701
asm2vec_e10,0.02,0.12,0.21,0.32,0.37,0.44,0.505,0.535,0.59,0.63,0.69,0.06401785714285711
catalog1_128,0.015,0.045,0.3,0.56,0.695,0.8,0.895,0.94,0.99,0.995,0.995,0.05530357142857141
catalog1_16,0.19,0.785,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4202222222222224
catalog1_32,0.075,0.455,0.76,0.9,0.955,0.995,1.0,1.0,1.0,1.0,1.0,0.23794246031746052
catalog1_64,0.025,0.18,0.54,0.775,0.88,0.955,0.995,0.995,1.0,1.0,1.0,0.11593253968253964
pvdbow_e10,0.01,0.025,0.06,0.095,0.155,0.23,0.325,0.39,0.445,0.53,0.59,0.019603174603174605
pvdm_e10,0.01,0.02,0.05,0.11,0.17,0.245,0.3,0.38,0.46,0.52,0.585,0.016075396825396826
