model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
GGSNN_NoFeatures_e10,0.325,0.52,0.65,0.715,0.76,0.815,0.835,0.855,0.89,0.9,0.9,0.4128769841269841
GGSNN_OPC-200_e10,0.395,0.595,0.68,0.735,0.77,0.785,0.815,0.84,0.87,0.89,0.895,0.47745039682539686
GMN_NoFeatures_e16,0.365,0.58,0.67,0.735,0.78,0.815,0.835,0.86,0.905,0.905,0.935,0.4631349206349205
GMN_OPC-200_e16,0.46,0.63,0.685,0.72,0.77,0.785,0.81,0.83,0.855,0.875,0.89,0.5293035714285714
GNN-s2v_ArithMean_e5,0.26,0.405,0.51,0.55,0.64,0.665,0.73,0.75,0.79,0.815,0.83,0.3241448412698415
GNN-s2v_AttentionMean_e5,0.275,0.44,0.55,0.6,0.635,0.68,0.725,0.755,0.77,0.795,0.81,0.34408134920634936
GNN-s2v_GeminiNN_GeminiFeatures_e5,0.325,0.51,0.565,0.64,0.665,0.695,0.735,0.78,0.79,0.815,0.82,0.3975674603174604
GNN-s2v_GeminiNN_NoFeatures_e5,0.055,0.195,0.285,0.375,0.41,0.465,0.555,0.62,0.66,0.71,0.755,0.11938690476190475
GNN-s2v_GeminiNN_OPC-200_e5,0.335,0.515,0.61,0.65,0.685,0.705,0.735,0.765,0.8,0.835,0.84,0.4145813492063493
GNN-s2v_RNN_ASM_e7,0.145,0.405,0.535,0.615,0.66,0.695,0.725,0.77,0.78,0.8,0.815,0.2549861111111112
IMM:0.00_MNEM:0.00_GRAPH:1.00,0.165,0.295,0.375,0.42,0.47,0.51,0.56,0.6,0.645,0.69,0.73,0.21774007936507941
IMM:0.00_MNEM:1.00_GRAPH:1.00,0.195,0.315,0.39,0.435,0.485,0.54,0.6,0.63,0.66,0.705,0.73,0.2468313492063493
IMM:1.00_MNEM:1.00_GRAPH:1.00,0.19,0.335,0.42,0.45,0.515,0.57,0.635,0.66,0.705,0.73,0.76,0.24604365079365093
IMM:4.00_MNEM:0.05_GRAPH:1.00,0.17,0.315,0.425,0.485,0.53,0.58,0.62,0.635,0.67,0.71,0.735,0.23697619047619053
SAFE_ASM-list_250_e5,0.115,0.375,0.55,0.635,0.7,0.735,0.76,0.785,0.805,0.85,0.885,0.2365952380952383
SAFE_ASM-list_Rand_Trainable_e10,0.135,0.38,0.495,0.61,0.67,0.71,0.74,0.765,0.815,0.85,0.865,0.23371031746031762
SAFE_ASM-list_Trainable_e10,0.22,0.43,0.545,0.6,0.66,0.69,0.735,0.765,0.775,0.8,0.825,0.3085357142857146
SAFE_ASM-list_e5,0.11,0.375,0.505,0.61,0.65,0.69,0.725,0.765,0.805,0.835,0.84,0.2237460317460318
Trex,0.39,0.525,0.62,0.665,0.69,0.71,0.75,0.77,0.79,0.795,0.82,0.44716269841269857
Zeek,0.165,0.42,0.58,0.66,0.7,0.74,0.78,0.81,0.855,0.865,0.87,0.2734920634920637
asm2vec_e10,0.34,0.445,0.565,0.62,0.665,0.705,0.76,0.795,0.82,0.845,0.855,0.3941468253968255
catalog1_128,0.315,0.38,0.475,0.545,0.61,0.66,0.715,0.76,0.795,0.825,0.87,0.3540416666666667
catalog1_16,0.305,0.53,0.72,0.81,0.88,0.94,0.965,0.985,0.99,0.995,1.0,0.40868055555555566
catalog1_32,0.305,0.455,0.545,0.65,0.75,0.79,0.87,0.935,0.96,0.985,0.99,0.36988095238095253
catalog1_64,0.32,0.43,0.5,0.555,0.635,0.72,0.77,0.79,0.835,0.89,0.93,0.3665476190476191
pvdbow_e10,0.36,0.5,0.595,0.64,0.68,0.71,0.745,0.79,0.825,0.835,0.86,0.4247202380952382
pvdm_e10,0.38,0.52,0.605,0.65,0.695,0.745,0.765,0.795,0.82,0.84,0.865,0.4440376984126986
