model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
GGSNN_NoFeatures_e10,0.29,0.48,0.6,0.65,0.7,0.76,0.815,0.845,0.855,0.895,0.915,0.3731567460317461
GGSNN_OPC-200_e10,0.44,0.625,0.7,0.75,0.8,0.825,0.84,0.87,0.885,0.9,0.915,0.5199920634920635
GMN_NoFeatures_e16,0.33,0.55,0.67,0.725,0.765,0.82,0.865,0.88,0.895,0.915,0.925,0.427015873015873
GMN_OPC-200_e16,0.45,0.65,0.725,0.765,0.795,0.83,0.845,0.87,0.895,0.91,0.92,0.5331964285714286
GNN-s2v_ArithMean_e5,0.155,0.355,0.475,0.57,0.605,0.655,0.68,0.725,0.79,0.815,0.835,0.24487698412698425
GNN-s2v_AttentionMean_e5,0.195,0.4,0.515,0.575,0.625,0.695,0.735,0.76,0.8,0.85,0.88,0.28661507936507946
GNN-s2v_GeminiNN_GeminiFeatures_e5,0.275,0.455,0.575,0.61,0.645,0.69,0.75,0.78,0.795,0.825,0.865,0.3631250000000001
GNN-s2v_GeminiNN_NoFeatures_e5,0.07,0.17,0.275,0.36,0.425,0.5,0.55,0.585,0.62,0.68,0.735,0.11605357142857142
GNN-s2v_GeminiNN_OPC-200_e5,0.26,0.515,0.6,0.665,0.7,0.72,0.74,0.76,0.78,0.815,0.835,0.3618849206349208
GNN-s2v_RNN_ASM_e7,0.165,0.42,0.55,0.63,0.68,0.715,0.735,0.77,0.8,0.85,0.87,0.2692301587301588
IMM:0.00_MNEM:0.00_GRAPH:1.00,0.2,0.325,0.45,0.51,0.55,0.605,0.635,0.675,0.705,0.765,0.795,0.2606964285714286
IMM:0.00_MNEM:1.00_GRAPH:1.00,0.125,0.245,0.305,0.37,0.42,0.475,0.54,0.575,0.63,0.675,0.705,0.17202380952380952
IMM:1.00_MNEM:1.00_GRAPH:1.00,0.09,0.22,0.305,0.375,0.43,0.495,0.525,0.595,0.64,0.67,0.71,0.1488630952380952
IMM:4.00_MNEM:0.05_GRAPH:1.00,0.155,0.28,0.355,0.425,0.505,0.54,0.575,0.63,0.67,0.71,0.735,0.21307341269841273
SAFE_ASM-list_250_e5,0.09,0.39,0.59,0.67,0.74,0.795,0.825,0.86,0.89,0.91,0.915,0.22297222222222227
SAFE_ASM-list_Rand_Trainable_e10,0.17,0.42,0.57,0.655,0.72,0.765,0.81,0.815,0.845,0.87,0.88,0.2790238095238097
SAFE_ASM-list_Trainable_e10,0.155,0.465,0.61,0.675,0.73,0.765,0.775,0.8,0.81,0.84,0.86,0.2877579365079367
SAFE_ASM-list_e5,0.07,0.31,0.48,0.63,0.7,0.755,0.775,0.825,0.85,0.865,0.87,0.17120436507936507
Trex,0.245,0.395,0.51,0.565,0.615,0.665,0.74,0.765,0.8,0.82,0.855,0.312373015873016
Zeek,0.125,0.495,0.65,0.735,0.79,0.81,0.86,0.895,0.92,0.94,0.96,0.2764067460317462
asm2vec_e10,0.09,0.225,0.31,0.39,0.465,0.525,0.58,0.645,0.68,0.74,0.775,0.14375198412698414
catalog1_128,0.085,0.205,0.465,0.675,0.795,0.875,0.94,0.975,1.0,1.0,1.0,0.15643253968253965
catalog1_16,0.215,0.78,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44288492063492063
catalog1_32,0.14,0.53,0.78,0.91,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.2994900793650796
catalog1_64,0.1,0.325,0.565,0.81,0.94,0.99,1.0,1.0,1.0,1.0,1.0,0.20276190476190487
pvdbow_e10,0.09,0.165,0.255,0.32,0.42,0.495,0.565,0.61,0.66,0.695,0.73,0.1271706349206349
pvdm_e10,0.095,0.18,0.265,0.325,0.42,0.49,0.555,0.62,0.65,0.71,0.765,0.13371428571428567
