model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
GGSNN_NoFeatures_e10,0.495,0.73,0.8,0.83,0.86,0.88,0.905,0.94,0.95,0.95,0.95,0.5928392857142858
GGSNN_OPC-200_e10,0.575,0.8,0.88,0.9,0.93,0.94,0.945,0.95,0.955,0.96,0.96,0.6768075396825397
GMN_NoFeatures_e16,0.59,0.79,0.85,0.865,0.895,0.91,0.935,0.94,0.945,0.96,0.99,0.6738849206349206
GMN_OPC-200_e16,0.615,0.85,0.9,0.91,0.925,0.945,0.95,0.955,0.955,0.96,0.965,0.7104007936507937
GNN-s2v_ArithMean_e5,0.325,0.56,0.655,0.705,0.76,0.825,0.86,0.88,0.9,0.9,0.91,0.4182539682539684
GNN-s2v_AttentionMean_e5,0.27,0.485,0.6,0.675,0.725,0.775,0.815,0.845,0.86,0.885,0.9,0.35872023809523823
GNN-s2v_GeminiNN_GeminiFeatures_e5,0.49,0.67,0.76,0.82,0.855,0.88,0.92,0.93,0.94,0.955,0.965,0.5730575396825396
GNN-s2v_GeminiNN_NoFeatures_e5,0.12,0.305,0.455,0.53,0.56,0.61,0.65,0.685,0.73,0.775,0.81,0.20744246031746033
GNN-s2v_GeminiNN_OPC-200_e5,0.47,0.735,0.82,0.87,0.895,0.895,0.92,0.925,0.93,0.935,0.945,0.5844880952380953
GNN-s2v_RNN_ASM_e7,0.225,0.52,0.65,0.74,0.795,0.835,0.87,0.915,0.925,0.935,0.94,0.34712896825396855
IMM:0.00_MNEM:0.00_GRAPH:1.00,0.22,0.345,0.455,0.545,0.58,0.635,0.68,0.7,0.755,0.775,0.8,0.27919246031746037
IMM:0.00_MNEM:1.00_GRAPH:1.00,0.125,0.235,0.33,0.385,0.445,0.48,0.49,0.545,0.605,0.65,0.68,0.17714087301587297
IMM:1.00_MNEM:1.00_GRAPH:1.00,0.11,0.23,0.32,0.395,0.45,0.505,0.525,0.565,0.6,0.65,0.68,0.16671428571428573
IMM:4.00_MNEM:0.05_GRAPH:1.00,0.27,0.41,0.485,0.555,0.58,0.65,0.715,0.76,0.79,0.835,0.865,0.33429365079365075
SAFE_ASM-list_250_e5,0.19,0.395,0.55,0.67,0.79,0.835,0.855,0.86,0.895,0.92,0.935,0.27738095238095245
SAFE_ASM-list_Rand_Trainable_e10,0.205,0.445,0.655,0.73,0.8,0.835,0.87,0.895,0.9,0.91,0.93,0.3095019841269843
SAFE_ASM-list_Trainable_e10,0.23,0.545,0.715,0.785,0.84,0.905,0.915,0.925,0.945,0.955,0.955,0.37228174603174613
SAFE_ASM-list_e5,0.195,0.47,0.62,0.755,0.815,0.855,0.895,0.905,0.915,0.93,0.95,0.30715674603174625
Trex,0.46,0.63,0.715,0.79,0.86,0.89,0.895,0.905,0.93,0.94,0.95,0.5279226190476191
Zeek,0.21,0.585,0.74,0.81,0.85,0.88,0.89,0.925,0.94,0.96,0.96,0.35645238095238113
asm2vec_e10,0.175,0.26,0.41,0.47,0.515,0.555,0.6,0.62,0.66,0.695,0.75,0.22453571428571434
catalog1_128,0.135,0.185,0.21,0.23,0.255,0.28,0.3,0.34,0.34,0.345,0.345,0.15904761904761905
catalog1_16,0.085,0.12,0.14,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.10053968253968253
catalog1_32,0.125,0.165,0.185,0.215,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.14077579365079365
catalog1_64,0.13,0.165,0.195,0.225,0.235,0.26,0.28,0.29,0.29,0.29,0.29,0.14892261904761905
pvdbow_e10,0.195,0.265,0.365,0.425,0.49,0.555,0.615,0.66,0.69,0.73,0.77,0.229295634920635
pvdm_e10,0.185,0.28,0.37,0.46,0.52,0.585,0.62,0.66,0.69,0.71,0.765,0.23128968253968252
