,model_name,XA,XA+XO,XO
0,GGSNN_NoFeatures_e10,0.96,0.93,0.91
1,GGSNN_OPC-200_e10,0.97,0.95,0.95
2,GMN_NoFeatures_e16,0.97,0.95,0.93
3,GMN_OPC-200_e16,0.98,0.96,0.97
4,GNN-s2v_ArithMean_e5,0.88,0.87,0.90
5,GNN-s2v_AttentionMean_e5,0.87,0.85,0.87
6,GNN-s2v_GeminiNN_GeminiFeatures_e5,0.96,0.93,0.93
7,GNN-s2v_GeminiNN_NoFeatures_e5,0.79,0.77,0.75
8,GNN-s2v_GeminiNN_OPC-200_e5,0.95,0.93,0.94
9,GNN-s2v_RNN_ASM_e7,0.90,0.88,0.88
10,IMM:0.00_MNEM:0.00_GRAPH:1.00,0.81,0.77,0.77
11,IMM:0.00_MNEM:1.00_GRAPH:1.00,0.68,0.69,0.79
12,IMM:1.00_MNEM:1.00_GRAPH:1.00,0.68,0.69,0.80
13,IMM:4.00_MNEM:0.05_GRAPH:1.00,0.80,0.78,0.83
14,SAFE_ASM-list_250_e5,0.88,0.87,0.86
15,SAFE_ASM-list_Rand_Trainable_e10,0.91,0.90,0.90
16,SAFE_ASM-list_Trainable_e10,0.93,0.91,0.91
17,SAFE_ASM-list_e5,0.90,0.88,0.88
18,Trex,0.94,0.94,0.94
19,Zeek,0.94,0.91,0.92
20,asm2vec_e10,0.69,0.75,0.94
21,catalog1_128,0.48,0.57,0.86
22,catalog1_16,0.50,0.55,0.72
23,catalog1_32,0.50,0.57,0.78
24,catalog1_64,0.49,0.57,0.83
25,pvdbow_e10,0.66,0.72,0.94
26,pvdm_e10,0.66,0.72,0.94
